# Depth/cm Cu/ppm Cr/ppm Fe/ppm Co/ppm Pb/ppm U/ppm
2.750000000000000000e+01 3.685631513286606875e+00 1.000740177932725601e+02 1.147518734620446048e+04 1.681422868150752947e+01 8.397107299306457051e+00 1.144614286368428502e+01
2.800000000000000000e+01 5.426428532416361250e+00 1.345368153166247112e+02 1.524078019361094266e+04 6.132106729025228020e+01 3.280235319275804251e+00 1.553098072517945738e+01
2.850000000000000000e+01 1.203513735607277901e+01 7.271595179459085045e+01 1.105325099083902205e+04 1.497304817154383194e+01 8.005619208294502798e+00 6.377470009837757026e+00
2.900000000000000000e+01 4.206814296314141721e+00 1.034449318881578108e+02 8.952432744402434764e+03 1.796269809690912211e+01 3.658078637785577403e+00 2.938038071035002474e+00
2.950000000000000000e+01 1.276579826472275236e+01 7.729004133766532902e+01 7.533958227430919578e+03 2.533031067250383472e+01 4.088944984517331349e+00 9.589665780429806219e+00
3.000000000000000000e+01 6.375576723676830149e+00 1.326658364939981709e+02 6.368761463012149761e+03 1.199009330146106933e+01 4.516531892678693261e+00 1.441200776598940259e+01
3.050000000000000000e+01 4.889270672702431320e+00 1.031100890731767379e+02 4.066210654642935879e+03 2.795056791275949237e+01 2.160891738246541394e+01 9.612849736984363958e+00
3.100000000000000000e+01 5.619046676066860257e+00 5.929313355440387312e+01 7.636692646312930265e+03 1.298768825663067794e+01 6.041234931971617428e+00 9.783425362521764868e+00
3.150000000000000000e+01 3.103705054747900149e+00 1.590369597196563802e+02 4.846519853495879943e+03 1.840611029274587862e+00 9.272532160724454187e+00 9.483729736088006845e+00
3.200000000000000000e+01 1.389500409950839455e+00 7.268477188049428150e+01 5.781320318026908353e+03 3.145677869183339226e+01 3.146284717335910752e+00 6.350712355432118983e+00
3.250000000000000000e+01 1.202492107144454003e+01 1.310010256877028496e+02 5.160653945616709279e+03 1.961731860126803539e+01 1.400093733313641842e+01 9.839294941901032487e+00
3.300000000000000000e+01 4.921232062633953852e+00 1.009215893566106246e+02 4.921308920034767652e+03 5.798220577399984421e+01 8.955116667185521351e+00 7.785114819513109907e+00
3.350000000000000000e+01 4.789332519068121741e+00 8.994789958340594183e+01 1.026638027798080839e+04 1.339924598892863195e+01 6.042895066351036348e+00 1.036100966436000803e+01
3.400000000000000000e+01 4.291316119404176455e+00 1.484768698559348366e+02 7.174375085894996118e+03 4.222101138349547256e+01 4.821477231285544285e+00 8.641766349882093579e+00
3.450000000000000000e+01 2.899484532408734339e+01 5.070620283081041890e+01 2.550858613348884774e+03 7.753025829394758262e+00 6.473202435020125378e+00 5.741983974226707588e+00
3.500000000000000000e+01 2.336187443158510124e+00 9.586364925739776766e+01 7.195582937380646399e+03 2.030481276359796539e+01 5.662698193445100614e+00 1.393654220952581291e+01
3.550000000000000000e+01 1.081738715312398824e+01 9.869427855219730361e+01 4.487135772532687952e+03 4.253477662712729312e+00 1.194443289875241376e+01 8.862548561339645303e+00
3.600000000000000000e+01 3.413765054124986431e+00 1.163926711964379308e+02 4.521749280556365193e+03 1.583700176680535954e+01 5.881533643208618045e+00 9.427530123107978000e+00
3.650000000000000000e+01 5.721485283802677735e+00 8.847912936228270553e+01 7.110165055065241177e+03 4.053497285127259886e+01 3.217519231467345531e+00 1.207008505904794760e+01
3.700000000000000000e+01 3.447042705281528452e+00 1.455030357719508913e+02 8.088325052309098282e+03 2.235885684044079369e+01 7.355099379274655291e+00 9.552381579440933024e+00
3.750000000000000000e+01 1.036640890041956098e+01 8.988533787090860017e+01 5.218411968912648263e+03 5.375937208181445470e+01 6.986833773354609534e+00 7.851876836045708075e+00
3.800000000000000000e+01 4.516225733264919384e+00 7.827806730599941432e+01 3.137759361250106849e+03 5.325672141999635301e+01 1.658111019115789286e+00 1.027354950866998351e+01
3.850000000000000000e+01 2.849240016774599482e+00 1.527479191407525434e+02 1.117649116094929559e+04 1.395261707119272643e+01 1.352333119129831474e+01 7.243202043862774886e+00
3.900000000000000000e+01 1.165690477335727948e+01 7.816425711257166142e+01 4.615576222548899750e+03 8.354221293377042912e+01 1.692980722684895056e+01 9.349130329113556570e+00
3.950000000000000000e+01 5.786349921962529841e+00 1.077832238050098681e+02 7.823882785326211888e+03 9.831770986435236637e+01 9.012837539458226743e+00 8.700452040906139217e+00
4.000000000000000000e+01 6.396381497256143689e+00 1.266830848431886523e+02 1.675912642936761767e+04 4.317996285446678684e+00 6.205522778363944170e+00 5.640696798597577555e+00
4.050000000000000000e+01 4.360340595795861418e+00 8.192184800318423754e+01 9.438440242008946370e+03 2.396353210628478791e+01 1.744533763290853967e+00 7.586591239953915711e+00
4.100000000000000000e+01 7.214128557201306968e+00 1.253857184569844350e+02 7.517794050318744667e+03 4.394946761927019452e+01 3.080413481916027152e+00 6.277312546401435434e+00
4.150000000000000000e+01 4.421247961252835701e+00 1.156560417317923282e+02 4.832717394723920734e+03 5.298011183950551839e+01 2.755684559781473641e+00 7.691858585517120872e+00
4.200000000000000000e+01 2.385034542749704300e+01 9.680745997877748721e+01 8.715598909711907254e+03 7.327338718405834506e+00 2.172191154604658436e+01 1.095392227316247791e+01
4.250000000000000000e+01 2.166696823809827421e+00 6.812195791022696767e+01 4.224916657372116788e+03 1.070697831826792701e+01 1.323895027368936717e+01 9.335353845326526567e+00
4.300000000000000000e+01 1.113423327317877565e+01 6.814334693185931258e+01 2.883598921712674837e+03 2.095824768259153359e+01 1.930062537743260753e+00 7.458041591402239767e+00
4.350000000000000000e+01 5.473059140239140419e+00 1.883920320737906593e+02 8.163447968538419445e+03 3.677966570908117205e+01 1.945463800911533925e+00 1.323506577246097748e+01
4.400000000000000000e+01 9.898090347991425730e+00 1.377999403746549945e+02 7.111736979008443996e+03 3.249127234471262682e+01 1.059421918194024137e+01 7.420824313962887331e+00
4.450000000000000000e+01 3.175427891273629122e+00 8.846943602090541958e+01 8.089782559316989136e+03 3.120266016564018230e+01 7.341836158480585794e+00 8.519832830965299308e+00
4.500000000000000000e+01 1.624605916678281403e+01 8.480994637536652192e+01 8.373949896464295307e+03 1.038748523229419050e+02 2.818932542703767030e+00 1.361417696253833576e+01
4.550000000000000000e+01 4.388478518986183907e+00 5.502053609661511757e+01 2.389656390660648867e+03 2.701268143055175841e+01 2.337286539399743290e+01 9.011858539822625858e+00
4.600000000000000000e+01 6.858045193433595976e+00 1.173114391293052421e+02 3.418868257104598797e+03 1.278905828471834916e+01 3.512711940656896292e+00 1.196156894702351181e+01
4.650000000000000000e+01 9.510143577524955205e+00 8.108380655585452246e+01 4.200013608064701657e+03 6.157219617945139056e+00 2.911795397517040307e+00 1.147059932226939516e+01
4.700000000000000000e+01 9.953677435902212878e+00 1.403137594162902531e+02 2.944907203952758664e+03 2.153780187830112158e+00 7.526616625458623311e+00 8.376392882973911824e+00
4.750000000000000000e+01 2.614266317150946151e+00 9.638194830576141214e+01 9.058128159024287015e+03 1.071015061729117157e+01 2.930303295925176243e+00 1.315172416432947600e+01
4.800000000000000000e+01 8.978211094357966715e+00 8.889957414330639551e+01 9.321394400660326937e+03 1.714729092032216329e+01 1.336554364981803644e+01 7.796012137592885693e+00
4.850000000000000000e+01 1.393306918886028001e+01 1.583958589389391420e+02 7.243026950252058668e+03 1.956193344889738484e+01 3.250924991391121566e+00 1.101290114370765671e+01
4.900000000000000000e+01 2.024556509030144369e+01 7.973438649015574242e+01 7.760887862711701928e+03 8.720333236944624034e+00 9.903751914385784616e+00 8.755650779626208191e+00
4.950000000000000000e+01 1.172049472573899287e+01 1.080885280307142438e+02 6.947834529632747035e+03 3.775801446356864322e+00 1.261104956436130209e+01 1.083753108852417135e+01
5.000000000000000000e+01 3.726813294003697319e+00 7.826369893000483557e+01 8.730679608388447377e+03 9.108166692598244296e+00 4.624650147109237608e+00 9.580254272332041410e+00
5.050000000000000000e+01 1.027941667685230520e+01 7.758213832066270754e+01 7.987677351901408656e+03 1.410015207743123788e+01 5.400522084542227041e+00 7.189837588759107057e+00
5.100000000000000000e+01 2.173107525641824633e+00 6.970104272045934124e+01 6.472263735270419602e+03 1.126120316098077545e+01 7.236016202618061222e+00 1.497973161673074571e+01
5.150000000000000000e+01 6.251990906301954531e+00 6.478822912965785008e+01 7.721847645557230862e+03 5.143424777461599007e+01 4.472214616834688350e+00 6.374404272590695086e+00
5.200000000000000000e+01 3.532844230449146306e+00 8.500544516399790496e+01 7.022191013712064887e+03 6.029420825331571621e+01 7.130615650638503666e+00 7.087488270717797967e+00
5.250000000000000000e+01 4.876181323418842695e+00 7.464666995851555953e+01 4.925231465691148514e+03 7.761297261681834314e+00 1.387431551752703385e+00 1.126933943873884658e+01
5.300000000000000000e+01 1.044389065160068597e+01 7.920838611603551271e+01 6.408678740120080874e+03 8.792051762243659141e+00 4.615406695953639726e+00 7.284156819767409807e+00
5.350000000000000000e+01 2.139074738922300156e+00 7.812667651494274423e+01 5.949177179006525876e+03 4.707060574135100239e+01 8.230791137722173190e+00 7.992551688186265935e+00
5.400000000000000000e+01 1.713130946056870840e+01 6.080576874747124094e+01 8.998873465767268499e+03 9.613322854812892615e+01 7.271550962511277305e+00 1.340493059912992102e+01
5.450000000000000000e+01 7.488402312140019390e+00 9.859347721866544134e+01 9.893090079054274611e+03 2.525868698729080108e+01 9.571622963231410708e+00 9.882577210705893123e+00
5.500000000000000000e+01 1.183984492356610518e+00 8.783207238945730921e+01 1.014667996605264489e+04 1.671833811462166475e+00 7.059324073828291191e+00 9.669564953102343097e+00
5.550000000000000000e+01 5.911887657412139063e+00 1.015693988859640058e+02 6.005569428412167326e+03 2.297059856408340295e+01 6.487090880651758873e+00 1.250108392900739851e+01
5.600000000000000000e+01 8.122286093857532308e+00 9.859908932805137738e+01 6.668941445631766328e+03 3.301033081140173575e+00 1.319595852678509651e+01 8.540382394979054936e+00
5.650000000000000000e+01 2.466778179449248753e+01 6.866777553870008433e+01 5.673669191449533173e+03 7.975198844829102995e+01 2.210764696142714314e+00 1.292154287856296691e+01
5.700000000000000000e+01 1.453749349935481838e+01 6.906066841079920948e+01 1.043470793033305381e+04 2.153462365878931095e+01 5.460107058983636463e+00 9.922708113071230684e+00
5.750000000000000000e+01 7.113518834491266318e+00 1.014649239242032905e+02 1.259828523921221313e+04 2.537849855979439440e+01 9.912384003380568132e+00 7.060538020127681946e+00
5.800000000000000000e+01 5.878810269058698523e+00 1.483708903873518921e+02 3.233514045044611976e+03 8.423079963918027602e+00 5.257895448586486609e+00 7.184839491954643442e+00
5.850000000000000000e+01 4.775812267486497120e+00 8.373283613650978907e+01 5.860603030761728405e+03 3.529297378786780293e+00 5.821055084001042879e+00 1.127831329190693488e+01
5.900000000000000000e+01 1.378203330759235401e+00 1.162728983384070887e+02 9.477714956958052426e+03 2.600178670225596633e+01 6.042753657376632503e+00 7.737116619188364020e+00
5.950000000000000000e+01 5.572199291198634441e+00 8.795789086264845480e+01 5.270372724117348298e+03 6.556298374384170735e+00 4.506842240925345244e+00 1.265676185859198455e+01
6.000000000000000000e+01 2.908339722815114214e+00 9.119436741290667214e+01 3.850982072006013823e+03 2.401818885115208602e+01 5.498743341934041240e+00 1.227580993028003498e+01
6.050000000000000000e+01 4.312513417368965207e+00 1.312949307476453384e+02 5.111134254467764549e+03 1.841707644481270023e+01 1.287226251296497459e+01 9.414089230461796021e+00
6.100000000000000000e+01 7.123553383135075912e+00 1.593795608232051677e+02 4.876925590104211551e+03 9.672073529633321343e+00 5.048190157883629681e+00 1.027340908139433573e+01
6.150000000000000000e+01 5.127686446221130012e+00 1.137447581458763182e+02 2.645227868727994519e+03 4.367399300385431893e+00 1.142342857896125530e+01 9.750133082094095016e+00
6.200000000000000000e+01 1.811256571030214202e+00 1.451699969787828763e+02 6.752111845955251738e+03 2.431550430182531386e+01 4.340032417325474512e+00 2.506847400641159851e+01
6.250000000000000000e+01 7.590995478340786917e+00 1.009550923535410760e+02 7.463099592834102623e+03 8.287304768561649837e+01 4.240528845626797327e+00 1.892626531614070018e+01
6.300000000000000000e+01 3.963178733267455289e+00 6.559825991638481923e+01 6.055165187662041717e+03 3.179175351942492256e+01 4.501619513066679623e+00 1.151476415035638290e+01
6.350000000000000000e+01 5.215874791937853416e+00 1.301858015413149587e+02 1.020484530278610873e+04 1.222178867154234183e+01 1.348484344253682465e+01 1.343326263925830411e+01
6.400000000000000000e+01 5.307824605951334540e+00 1.255480130758257928e+02 5.741457822333295553e+03 3.014966426636656749e+01 7.886959672295086321e+00 9.676687073333196665e+00
6.450000000000000000e+01 5.125755735554319514e+00 9.960740405201457293e+01 1.015078386915690862e+04 2.131832070443383031e+01 8.730976198298765922e+00 9.718917357216215080e+00
6.500000000000000000e+01 1.245201501070049899e+00 1.045881488717077303e+02 5.529368342566147476e+03 7.156274426255531118e+00 1.318906500308150420e+01 7.526636135416185702e+00
6.550000000000000000e+01 3.926494932688442407e+00 1.474651796174859157e+02 4.584042106725583835e+03 1.649608512399408866e+01 1.112976314153085688e+01 9.526327025904791412e+00
6.600000000000000000e+01 1.310966556096770397e+01 1.206954857091079560e+02 7.588189349965125984e+03 2.521348193821382466e+01 5.341010194383214227e+00 1.051300343235481272e+01
6.650000000000000000e+01 9.671523975299610498e+00 7.863118144798640685e+01 4.929903426224935174e+03 5.182914222764322787e+00 1.915156269569670666e+00 1.337368415058644544e+01
6.700000000000000000e+01 1.076981012346892008e+01 1.559351432945711338e+02 4.646205550833647976e+03 3.399202761843821463e+01 2.461945574601596576e+01 8.753445192394986307e+00
6.750000000000000000e+01 6.435681656954739260e+00 1.097621541595192554e+02 6.850642798452706302e+03 8.442132088420979841e+00 2.137111393536710935e+01 9.212569897254722306e+00
6.800000000000000000e+01 9.388975479350795794e+00 9.380709695760735656e+01 9.522427229527307645e+03 5.350250120909375795e+00 4.427795792089417759e+00 1.510005365317431369e+01
6.850000000000000000e+01 1.224151632307844473e+01 1.383409696313523796e+02 5.695177747666826690e+03 7.886236674771271105e+00 5.673240172976030671e+00 1.219367403980295705e+01
6.900000000000000000e+01 5.639978216539547340e+00 1.173469408968809233e+02 4.953536570863278939e+03 1.725649505049566823e+00 1.896103437006379400e+00 6.322619236385359720e+00
6.950000000000000000e+01 6.127726764661304060e+00 1.374718573874132233e+02 3.877060916871573227e+03 1.888402413535980173e+01 4.393878759159977498e+00 7.574814573209842195e+00
7.000000000000000000e+01 5.166578271779672882e+00 8.252726195121019259e+01 9.137445791845882923e+03 5.060760802648543688e+01 2.086480581804829093e+00 8.390095651260946141e+00
7.050000000000000000e+01 4.665677984159806613e+00 9.337657954604699739e+01 4.359997955707958681e+03 1.560800697890541855e+01 4.408265274679997958e+00 7.336841895637191691e+00
7.100000000000000000e+01 6.191384997276649926e+00 7.580369348946707930e+01 1.500594262200627236e+04 2.616062858348294284e+01 3.192130431417404157e+00 8.029643842861423408e+00
7.150000000000000000e+01 4.981576487988271573e+00 6.323473888373268892e+01 8.426442741752220172e+03 9.247757299104122808e+00 2.575254370330180009e+00 7.941482107482510600e+00
7.200000000000000000e+01 8.986767059518564693e+00 8.655637893801477389e+01 4.667258267333071672e+03 5.597872031680665827e+00 4.525000038000509761e+00 1.163277408844592564e+01
7.250000000000000000e+01 1.915233937269924747e+00 7.924690278343260275e+01 4.991835943250905075e+03 5.492564382257692834e+00 2.458215516507716192e+00 1.524403050186791475e+01
7.300000000000000000e+01 4.225035113474393533e+00 7.197746936094311820e+01 8.786216172590200586e+03 5.151038908062179900e+00 5.812893729534625464e+00 5.688603603241202400e+00
7.350000000000000000e+01 1.017437593280483554e+01 1.583890654718574638e+02 1.160307224156161828e+04 4.135620240039527218e+00 7.918900590944144113e+00 9.543170349052154222e+00
7.400000000000000000e+01 5.454587609929751224e+00 1.525854009956412654e+02 7.463951244974294241e+03 2.306510988855959710e+01 2.300865326311090531e+00 1.056142240449827696e+01
7.450000000000000000e+01 2.567152361837204744e+00 7.384582846507164788e+01 9.481105568888897324e+03 1.394189416355484070e+02 8.022160063191094537e+00 1.475115073978512115e+01
7.500000000000000000e+01 4.831404973171387951e+00 1.356189458324444956e+02 9.867946866477854201e+03 9.949879924190010883e+00 3.684822339070966901e+00 7.116106781009437832e+00
7.550000000000000000e+01 1.106979726958998889e+01 6.225970380363807521e+01 2.101468094624596688e+03 2.726241750524295426e+01 3.518536626591560079e+00 1.136253576393175102e+01
7.600000000000000000e+01 3.077489490877100220e+00 8.176516745808892495e+01 1.296521073586568309e+04 1.355632712594635336e+01 6.596746344261362083e+00 8.220975693390009553e+00
7.650000000000000000e+01 3.445221540950441863e+00 7.757576556287899905e+01 1.135135401980396819e+04 2.990457661471587159e+01 3.580829654414199759e+00 6.654271186968875540e+00
7.700000000000000000e+01 1.389338161610382594e+00 1.020989502862360752e+02 8.393829358893633980e+03 1.261956482920770739e+01 2.223640839453084883e+00 1.297783795398029660e+01
7.750000000000000000e+01 3.244353023687367443e+00 9.628797740326243115e+01 6.183835928996300936e+03 2.439447262256559057e+01 6.639801160973668459e+00 1.106926576568188736e+01
7.800000000000000000e+01 1.746882629056863090e+00 1.182226099605430818e+02 6.266729206147350851e+03 6.721522253786793044e+01 8.192353519451382127e+00 2.326251189258553254e+01
7.850000000000000000e+01 2.078620956684106069e+00 1.030792773570927210e+02 8.512044325146052870e+03 6.884990492478624269e+00 5.378691900194474407e+00 5.500819093370158619e+00
7.900000000000000000e+01 6.173680154177399793e+00 7.845105000684773700e+01 1.326050364665997768e+04 1.390238906461829016e+00 9.852878966053399523e+00 5.167952826715279890e+00
7.950000000000000000e+01 7.765873835320943108e+00 6.738961965547183297e+01 3.646422006807213165e+03 1.105560489135470981e+01 1.016446927380549425e+01 7.730320335006021004e+00
8.000000000000000000e+01 1.225172423534378296e+01 1.190985369608479942e+02 7.333125455140957456e+03 6.494850238536459131e+01 1.201783321364003676e+01 1.449803770393228142e+01
8.050000000000000000e+01 8.450768600741977110e+00 1.430818082750665212e+02 2.224485075278692238e+04 2.114066321908752855e+01 5.165904752257085342e+00 1.159253430169585997e+01
8.100000000000000000e+01 2.897244295907935641e+00 1.036417168016147912e+02 3.976453845877240383e+03 4.056759263886160483e+00 4.152577731216744894e+00 1.123041377218569714e+01
8.150000000000000000e+01 6.804197590300492315e+00 1.438841567145044280e+02 1.512714844470436037e+04 2.459017892449863751e+01 9.538224065788197592e+00 1.352984651968888308e+01
8.200000000000000000e+01 2.556496309845779802e+00 1.098341553304739620e+02 7.025681833856366211e+03 1.374007329897229468e+01 5.890836411110174531e+00 7.497702454771542513e+00
